# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
  112       4.188172843700e-10       1.302833712857e-13      -4.387152440799e-12       0.000000000000e+00 
  113       4.233391419132e-10       1.317343595367e-13      -4.469393958499e-12       0.000000000000e+00 
  114       4.278766952430e-10       1.331330328124e-13      -4.550463670564e-12       0.000000000000e+00 
  115       4.324284493663e-10       1.344777222499e-13      -4.630283771036e-12       0.000000000000e+00 
  116       4.369929451316e-10       1.357668256185e-13      -4.708776333797e-12       0.000000000000e+00 
  117       4.415693598348e-10       1.369989319602e-13      -4.785863094521e-12       0.000000000000e+00 
  118       4.461569716153e-10       1.381727148335e-13      -4.861465714739e-12       0.000000000000e+00 
  119       4.507549704524e-10       1.392868961450e-13      -4.935505898843e-12       0.000000000000e+00 
  120       4.553624554178e-10       1.403402479133e-13      -5.007905432046e-12       0.000000000000e+00 
  121       4.599784319287e-10       1.413315940322e-13      -5.078586218355e-12       0.000000000000e+00 
  122       4.646018090003e-10       1.422598120350e-13      -5.147470318531e-12       0.000000000000e+00 
  123       4.692313964989e-10       1.431238348577e-13      -5.214479988058e-12       0.000000000000e+00 
  124       4.738659023947e-10       1.439226526034e-13      -5.279537715109e-12       0.000000000000e+00 
  125       4.785039300143e-10       1.446553143054e-13      -5.342566258511e-12       0.000000000000e+00 
  126       4.831439752938e-10       1.453209296911e-13      -5.403488685711e-12       0.000000000000e+00 
  127       4.877844240316e-10       1.459186709460e-13      -5.462228410744e-12       0.000000000000e+00 
  128       4.924235491411e-10       1.464477744771e-13      -5.518709232196e-12       0.000000000000e+00 
  129       4.970596771709e-10       1.469075821381e-13      -5.572856436596e-12       0.000000000000e+00 
  130       5.016917143545e-10       1.472976662713e-13      -5.624600164793e-12       0.000000000000e+00 
  131       5.063186733459e-10       1.476177217797e-13      -5.673872488341e-12       0.000000000000e+00 
  132       5.109395076042e-10       1.478675299215e-13      -5.720606422320e-12       0.000000000000e+00 
  133       5.155531098580e-10       1.480469603562e-13      -5.764735970926e-12       0.000000000000e+00 
  134       5.201583105689e-10       1.481559731906e-13      -5.806196173063e-12       0.000000000000e+00 
  135       5.247538763961e-10       1.481946210248e-13      -5.844923147927e-12       0.000000000000e+00 
  136       5.293385086598e-10       1.481630509987e-13      -5.880854140603e-12       0.000000000000e+00 
  137       5.339108418058e-10       1.480615068377e-13      -5.913927567650e-12       0.000000000000e+00 
  138       5.384694418692e-10       1.478903308988e-13      -5.944083062693e-12       0.000000000000e+00 
  139       5.430128049386e-10       1.476499662171e-13      -5.971261522012e-12       0.000000000000e+00 
  140       5.475393556198e-10       1.473409585515e-13      -5.995405150130e-12       0.000000000000e+00 
  141       5.520474455004e-10       1.469639584310e-13      -6.016457505408e-12       0.000000000000e+00 
  142       5.565353516132e-10       1.465197232006e-13      -6.034363545628e-12       0.000000000000e+00 
  143       5.610012749008e-10       1.460091190678e-13      -6.049069673589e-12       0.000000000000e+00 
  144       5.654434773014e-10       1.454331188259e-13      -6.060524083138e-12       0.000000000000e+00 
  145       5.698607114828e-10       1.447927904531e-13      -6.068677739481e-12       0.000000000000e+00 
  146       5.742518307519e-10       1.440893112741e-13      -6.073483582633e-12       0.000000000000e+00 
  147       5.786156535043e-10       1.433239741845e-13      -6.074896282547e-12       0.000000000000e+00 
  148       5.829509624846e-10       1.424981896724e-13      -6.072872286433e-12       0.000000000000e+00 
  149       5.872565040470e-10       1.416134878395e-13      -6.067369866074e-12       0.000000000000e+00 
  150       5.915309874166e-10       1.406715204223e-13      -6.058349165141e-12       0.000000000000e+00 
  151       5.957730839497e-10       1.396740628134e-13      -6.045772246510e-12       0.000000000000e+00 
  152       5.999814263944e-10       1.386230160830e-13      -6.029603139579e-12       0.000000000000e+00 
  153       6.041546081517e-10       1.375204089997e-13      -6.009807887586e-12       0.000000000000e+00 
  154       6.082911825357e-10       1.363684000522e-13      -5.986354594922e-12       0.000000000000e+00 
  155       6.123896620350e-10       1.351692794703e-13      -5.959213474450e-12       0.000000000000e+00 
  156       6.164485175725e-10       1.339254712463e-13      -5.928356894822e-12       0.000000000000e+00 
  157       6.204661777671e-10       1.326395351560e-13      -5.893759427792e-12       0.000000000000e+00 
  158       6.244410281935e-10       1.313141687804e-13      -5.855397895539e-12       0.000000000000e+00 
  159       6.283714106437e-10       1.299522095266e-13      -5.813251417975e-12       0.000000000000e+00 
  160       6.322556223870e-10       1.285566366491e-13      -5.767301460068e-12       0.000000000000e+00 
  161       6.360920328339e-10       1.271304904248e-13      -5.717531405660e-12       0.000000000000e+00 
  162       6.398794466718e-10       1.256766174016e-13      -5.663925137228e-12       0.000000000000e+00 
  163       6.436167715789e-10       1.241979063793e-13      -5.606468420374e-12       0.000000000000e+00 
  164       6.473029035120e-10       1.226973708573e-13      -5.545149410803e-12       0.000000000000e+00 
  165       6.509367265076e-10       1.211781506740e-13      -5.479958699458e-12       0.000000000000e+00 
  166       6.545171124825e-10       1.196435136475e-13      -5.410889357664e-12       0.000000000000e+00 
  167       6.580429210349e-10       1.180968572157e-13      -5.337936982261e-12       0.000000000000e+00 
  168       6.615129992451e-10       1.165417100760e-13      -5.261099740746e-12       0.000000000000e+00 
  169       6.649261814765e-10       1.149817338254e-13      -5.180378416407e-12       0.000000000000e+00 
  170       6.682812891763e-10       1.134207246011e-13      -5.095776453464e-12       0.000000000000e+00 
  171       6.715771306764e-10       1.118626147202e-13      -5.007300002205e-12       0.000000000000e+00 
  172       6.748125009946e-10       1.103114743197e-13      -4.914957964126e-12       0.000000000000e+00 
  173       6.779861816349e-10       1.087715129969e-13      -4.818762037067e-12       0.000000000000e+00 
  174       6.810969403888e-10       1.072470814495e-13      -4.718726760353e-12       0.000000000000e+00 
  175       6.841435311358e-10       1.057426731152e-13      -4.614869559927e-12       0.000000000000e+00 
  176       6.871246936446e-10       1.042629258124e-13      -4.507210793493e-12       0.000000000000e+00 
  177       6.900391533739e-10       1.028126233799e-13      -4.395773795651e-12       0.000000000000e+00 
  178       6.928856212730e-10       1.013966973173e-13      -4.280584923038e-12       0.000000000000e+00 
  179       6.956627935831e-10       1.000202284248e-13      -4.161673599460e-12       0.000000000000e+00 
  180       6.983694384526e-10       9.868824620097e-14      -4.039070318977e-12       0.000000000000e+00 
  181       7.010046638998e-10       9.740510577908e-14      -3.912800383336e-12       0.000000000000e+00 
  182       7.035676708173e-10       9.617506449862e-14      -3.782889752254e-12       0.000000000000e+00 
  183       7.060576681913e-10       9.500248058610e-14      -3.649367078096e-12       0.000000000000e+00 
  184       7.084738732218e-10       9.389181405014e-14      -3.512263743487e-12       0.000000000000e+00 
  185       7.108155114438e-10       9.284762757665e-14      -3.371613898931e-12       0.000000000000e+00 
  186       7.130818168472e-10       9.187458742406e-14      -3.227454500428e-12       0.000000000000e+00 
  187       7.152720319979e-10       9.097746431848e-14      -3.079825347090e-12       0.000000000000e+00 
  188       7.173854081585e-10       9.016113434889e-14      -2.928769118755e-12       0.000000000000e+00 
  189       7.194212054085e-10       8.943057986230e-14      -2.774331413608e-12       0.000000000000e+00 
  190       7.213786927654e-10       8.879089035900e-14      -2.616560785797e-12       0.000000000000e+00 
  191       7.232571483048e-10       8.824726338768e-14      -2.455508783045e-12       0.000000000000e+00 
  192       7.250558592815e-10       8.780500544066e-14      -2.291229984272e-12       0.000000000000e+00 
  193       7.267741222499e-10       8.746953284906e-14      -2.123782037209e-12       0.000000000000e+00 
  194       7.284112431846e-10       8.724637267797e-14      -1.953225696015e-12       0.000000000000e+00 
  195       7.299665376012e-10       8.714116362167e-14      -1.779624858893e-12       0.000000000000e+00 
  196       7.314393306767e-10       8.715965689880e-14      -1.603046605707e-12       0.000000000000e+00 
  197       7.328289573702e-10       8.730771714755e-14      -1.423561235601e-12       0.000000000000e+00 
  198       7.341347625436e-10       8.759132332082e-14      -1.241242304611e-12       0.000000000000e+00 
  199       7.353561010821e-10       8.801656958146e-14      -1.056166663286e-12       0.000000000000e+00 
  200       7.364923380150e-10       8.858966619741e-14      -8.684144942998e-13       0.000000000000e+00 
  201       7.375429016022e-10       8.931661019459e-14      -6.780652453229e-13       0.000000000000e+00 
  202       7.385074465692e-10       9.020216923721e-14      -4.851850256369e-13       0.000000000000e+00 
  203       7.393857027785e-10       9.125082680675e-14      -2.898383807392e-13       0.000000000000e+00 
  204       7.401774235866e-10       9.246710584027e-14      -9.209234149800e-14       0.000000000000e+00 
