# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_dcdm           16:(.)rho_dr             17:gr.fac. D             18:gr.fac. f          
       8.399689573103e+13       1.071295680414e-25       5.518813850358e-09       1.522251902311e+22       1.351070547874e+04       1.608476761094e-10       1.134857319350e+18       3.185782214356e-09       1.369720691902e+44       1.484530748283e+33       8.252075511780e+33       5.477568885622e-08       9.475301620897e+43       2.317250854090e+44       6.593990279929e+31       4.816369743983e+12       2.004744472004e-06       5.734262462252e+00 
       8.341300469814e+13       1.086346313428e-25       5.557012627833e-09       1.501162076301e+22       1.351070547874e+04       1.619736098422e-10       1.126968539573e+18       3.208082689856e-09       1.332030393213e+44       1.453787015615e+33       8.081180025927e+33       5.477568885622e-08       9.214571860169e+43       2.253487579325e+44       6.457432734982e+31       4.782889517361e+12       2.084934250884e-06       5.513713906011e+00 
       8.283317249071e+13       1.101608392785e-25       5.595211405307e-09       1.480364436336e+22       1.351070547874e+04       1.631074251111e-10       1.119134597392e+18       3.230539268685e-09       1.295377210063e+44       1.423679967030e+33       7.913823682081e+33       5.477568885622e-08       8.961016542097e+43       2.191478864367e+44       6.323703214084e+31       4.749642023197e+12       2.165124029764e-06       5.309502279863e+00 
       8.225737089444e+13       1.117084889096e-25       5.635229172185e-09       1.459854934363e+22       1.351070547874e+04       1.642491770868e-10       1.111355111610e+18       3.253153043566e-09       1.259732604377e+44       1.394196417186e+33       7.749933186753e+33       5.477568885622e-08       8.714438249143e+43       2.131176429384e+44       6.192743150568e+31       4.716625643690e+12       2.245313808644e-06       5.119877198439e+00 
       8.168557189121e+13       1.132778814702e-25       5.673427949660e-09       1.439629578416e+22       1.351070547874e+04       1.653989213264e-10       1.103629703685e+18       3.275925114871e-09       1.225068823353e+44       1.365323453803e+33       7.589436764321e+33       5.477568885622e-08       8.474644996064e+43       2.072533323050e+44       6.064495190649e+31       4.683838772283e+12       2.325503587524e-06       4.943329708838e+00 
       8.111774765760e+13       1.148693224270e-25       5.713445716538e-09       1.419684431833e+22       1.351070547874e+04       1.665567137757e-10       1.095957997701e+18       3.298856590675e-09       1.191358877859e+44       1.337048432003e+33       7.432264125591e+33       5.477568885622e-08       8.241450080431e+43       2.015503885990e+44       5.938903168305e+31       4.651279813587e+12       2.405693366404e-06       4.778552051876e+00 
       8.055387056366e+13       1.164831215378e-25       5.753463483416e-09       1.400015612494e+22       1.351070547874e+04       1.677226107722e-10       1.088339620358e+18       3.321948586809e-09       1.158576521413e+44       1.309358968780e+33       7.278346437014e+33       5.477568885622e-08       8.014671937265e+43       1.960043715226e+44       5.815912080677e+31       4.618947183303e+12       2.485883145285e-06       4.624405211493e+00 
       7.999391317146e+13       1.181195929123e-25       5.793481250294e-09       1.380619292060e+22       1.351070547874e+04       1.688966690476e-10       1.080774200951e+18       3.345202226917e-09       1.126696229756e+44       1.282242937570e+33       7.127616290546e+33       5.477568885622e-08       7.794133997669e+43       1.906109629607e+44       5.695468063982e+31       4.586839308145e+12       2.566072924165e-06       4.479892548634e+00 
       7.943784823382e+13       1.197790550731e-25       5.835318006575e-09       1.361491695234e+22       1.351070547874e+04       1.700789457309e-10       1.073261371352e+18       3.368618642505e-09       1.095693180972e+44       1.255688462943e+33       6.980007674119e+33       5.477568885622e-08       7.579664551354e+43       1.853659636190e+44       5.577518369925e+31       4.554954625764e+12       2.646262703045e-06       4.344138228978e+00 
       7.888564869297e+13       1.214618310178e-25       5.875335773453e-09       1.342629099022e+22       1.351070547874e+04       1.712694983510e-10       1.065800765990e+18       3.392198973002e-09       1.065543236164e+44       1.229683915403e+33       6.835455942736e+33       5.477568885622e-08       7.371096612945e+43       1.802652897540e+44       5.462011342593e+31       4.523291584670e+12       2.726452481925e-06       4.216369457538e+00 
       7.833728767921e+13       1.231682482818e-25       5.917172529735e-09       1.324027832010e+22       1.351070547874e+04       1.724683848395e-10       1.058392021837e+18       3.415944365813e-09       1.036222920661e+44       1.204217906292e+33       6.693897790161e+33       5.477568885622e-08       7.168267791965e+43       1.753049699937e+44       5.348896395839e+31       4.491848644160e+12       2.806642260805e-06       4.095901758751e+00 
       7.779273850965e+13       1.248986390019e-25       5.957190296613e-09       1.305684273650e+22       1.351070547874e+04       1.736756635333e-10       1.051034778388e+18       3.439855976374e-09       1.007709405738e+44       1.179279282805e+33       6.555271221188e+33       5.477568885622e-08       6.971020166400e+43       1.704811422456e+44       5.238123991122e+31       4.460624274239e+12       2.886832039685e-06       3.982126709897e+00 
       7.725197468684e+13       1.266533399812e-25       5.999027052894e-09       1.287594853552e+22       1.351070547874e+04       1.748913931781e-10       1.043728677645e+18       3.463934968208e-09       9.799804908440e+43       1.154857123107e+33       6.419515524498e+33       5.477568885622e-08       6.779200159740e+43       1.657900506894e+44       5.129645615816e+31       4.429616955550e+12       2.967021818565e-06       3.874501663683e+00 
       7.671496989756e+13       1.284326927546e-25       6.040863809176e-09       1.269756050795e+22       1.351070547874e+04       1.761156329303e-10       1.036473364096e+18       3.488182512985e-09       9.530145863146e+43       1.130940731544e+33       6.286571246063e+33       5.477568885622e-08       6.592658421409e+43       1.612280428530e+44       5.023413761960e+31       4.398825179294e+12       3.047211597445e-06       3.772541093586e+00 
       7.618169801148e+13       1.302370436551e-25       6.084519554861e-09       1.252164393235e+22       1.351070547874e+04       1.773484423608e-10       1.029268484703e+18       3.512599790576e-09       9.267906965640e+43       1.107519633966e+33       6.156380163116e+33       5.477568885622e-08       6.411249710473e+43       1.567915667684e+44       4.919381905458e+31       4.368247447163e+12       3.127401376325e-06       3.675809270674e+00 
       7.565213307992e+13       1.320667438814e-25       6.126356311142e-09       1.234816456833e+22       1.351070547874e+04       1.785898814574e-10       1.022113688881e+18       3.537187989110e-09       9.012884037369e+43       1.084583573132e+33       6.028885258643e+33       5.477568885622e-08       6.234832782562e+43       1.524771682065e+44       4.817504485695e+31       4.337882271263e+12       3.207591155205e-06       3.583914038907e+00 
       7.512624933457e+13       1.339221495662e-25       6.170012056828e-09       1.217708864989e+22       1.351070547874e+04       1.798400106276e-10       1.015008628482e+18       3.561948305033e-09       8.764878518120e+43       1.062122504228e+33       5.904030696424e+33       5.477568885622e-08       6.063270279898e+43       1.482814879872e+44       4.717736885591e+31       4.307728174044e+12       3.287780934085e-06       3.496501501373e+00 
       7.460402118627e+13       1.358036218454e-25       6.211848813109e-09       1.200838287882e+22       1.351070547874e+04       1.810988907020e-10       1.007952957777e+18       3.586881943168e-09       8.523697311413e+43       1.040126590456e+33       5.781761796567e+33       5.477568885622e-08       5.896428624344e+43       1.442012593644e+44       4.620035412060e+31       4.277783688225e+12       3.367970712965e-06       3.413251465626e+00 
       7.408542322370e+13       1.377115269287e-25       6.255504558794e-09       1.184201441826e+22       1.351070547874e+04       1.823665829369e-10       1.000946333443e+18       3.611990116770e-09       8.289152634162e+43       1.018586198736e+33       5.662025011573e+33       5.477568885622e-08       5.734177913402e+43       1.402333054824e+44       4.524357276872e+31       4.248047356727e+12       3.448160491845e-06       3.333873524565e+00 
       7.357043021222e+13       1.396462361705e-25       6.299160304479e-09       1.167795088626e+22       1.351070547874e+04       1.836431490174e-10       9.939884145414e+17       3.637274047588e-09       8.061061870467e+43       9.974918954825e+32       5.544767902875e+33       5.477568885622e-08       5.576391819074e+43       1.363745369020e+44       4.430660577914e+31       4.218517732598e+12       3.528350270725e-06       3.258103671734e+00 
       7.305901709257e+13       1.416081261425e-25       6.344635039568e-09       1.151616034952e+22       1.351070547874e+04       1.849286510606e-10       9.870788625039e+17       3.662734965920e-09       7.839247429430e+43       9.768344424733e+32       5.429939117881e+33       5.477568885622e-08       5.422947489502e+43       1.326219491958e+44       4.338904280843e+31       4.189193378945e+12       3.608540049605e-06       3.185701367917e+00 
       7.255115897971e+13       1.435975787066e-25       6.388290785253e-09       1.135661131712e+22       1.351070547874e+04       1.862231516180e-10       9.802173411161e+17       3.688374110682e-09       7.623536606878e+43       9.566047928044e+32       5.317488367475e+33       5.477568885622e-08       5.273725453312e+43       1.289726206082e+44       4.249048201110e+31       4.160072868862e+12       3.688729828485e-06       3.116446990354e+00 
       7.204683116158e+13       1.456149810899e-25       6.433765520342e-09       1.119927273448e+22       1.351070547874e+04       1.875267136793e-10       9.734035165006e+17       3.714192729456e-09       7.413761450905e+43       9.367940869278e+32       5.207366404003e+33       5.477568885622e-08       5.128609526601e+43       1.254237097812e+44       4.161052986366e+31       4.131154785363e+12       3.768919607365e-06       3.050139607581e+00 
       7.154600909790e+13       1.476607259592e-25       6.477421266027e-09       1.104411397722e+22       1.351070547874e+04       1.888394006751e-10       9.666370571009e+17       3.740192078562e-09       7.209758631097e+43       9.173936487712e+32       5.099524999697e+33       5.477568885622e-08       4.987486722468e+43       1.219724535417e+44       4.074880099224e+31       4.102437721313e+12       3.849109386245e-06       2.986595032423e+00 
       7.104866841896e+13       1.497352114982e-25       6.522896001115e-09       1.089110484525e+22       1.351070547874e+04       1.901612764798e-10       9.599176336652e+17       3.766373423112e-09       7.011369311369e+43       8.983949819387e+32       4.993916925559e+33       5.477568885622e-08       4.850247163053e+43       1.186161647501e+44       3.990491800382e+31       4.073920279357e+12       3.929299165125e-06       2.925644113394e+00 
       7.055478492449e+13       1.518388414845e-25       6.568370736204e-09       1.074021555689e+22       1.351070547874e+04       1.914924054151e-10       9.532449192306e+17       3.792738037073e-09       6.818439026289e+43       8.797897659894e+32       4.890495930673e+33       5.477568885622e-08       4.716783993974e+43       1.153522302084e+44       3.907851132099e+31       4.045601071853e+12       4.009488944005e-06       2.867131231126e+00 
       7.006433458242e+13       1.539720253685e-25       6.615664460696e-09       1.059141674307e+22       1.351070547874e+04       1.928328522530e-10       9.466185891068e+17       3.819287203333e-09       6.630817560821e+43       8.615698527939e+32       4.789216721952e+33       5.477568885622e-08       4.586993301144e+43       1.121781086253e+44       3.826921902003e+31       4.017478720807e+12       4.089678722885e-06       2.810912971692e+00 
       6.957729352772e+13       1.561351783529e-25       6.661139195785e-09       1.044467944159e+22       1.351070547874e+04       1.941826822188e-10       9.400383208608e+17       3.846022213756e-09       6.448358833359e+43       8.437272629655e+32       4.690034944303e+33       5.477568885622e-08       4.460774029851e+43       1.090913286377e+44       3.747668667246e+31       3.989551857801e+12       4.169868501765e-06       2.756856953006e+00 
       6.909363806129e+13       1.583287214736e-25       6.708432920277e-09       1.029997509154e+22       1.351070547874e+04       1.955419609943e-10       9.335037943007e+17       3.872944369252e-09       6.270920781994e+43       8.262541823658e+32       4.592907161198e+33       5.477568885622e-08       4.338027906086e+43       1.060894868863e+44       3.670056718981e+31       3.961819123933e+12       4.250058280645e-06       2.704840784081e+00 
       6.861334464875e+13       1.605530816815e-25       6.755726644769e-09       1.015727552765e+22       1.351070547874e+04       1.969107547213e-10       9.270146914605e+17       3.900054979836e-09       6.098365253901e+43       8.091429586826e+32       4.497790835654e+33       5.477568885622e-08       4.218659360024e+43       1.031702461446e+44       3.594052067157e+31       3.934279169744e+12       4.330248059525e-06       2.654751139932e+00 
       6.813638991932e+13       1.628086919261e-25       6.803020369262e-09       1.001655297491e+22       1.351070547874e+04       1.982891300044e-10       9.205706965844e+17       3.927355364695e-09       5.930557897776e+43       7.923860980781e+32       4.404644311604e+33       5.477568885622e-08       4.102575451612e+43       1.003313334991e+44       3.519621425638e+31       3.906930655157e+12       4.410437838405e-06       2.606482937388e+00 
       6.766275066466e+13       1.650959912389e-25       6.850314093754e-09       9.877780043083e+21       1.351070547874e+04       1.996771539144e-10       9.141714961116e+17       3.954846852247e-09       5.767368059232e+43       7.759762619076e+32       4.313426795651e+33       5.477568885622e-08       3.989685798209e+43       9.757053857954e+43       3.446732197626e+31       3.879772249411e+12       4.490627617285e-06       2.559938599220e+00 
       6.719240383780e+13       1.674154248198e-25       6.897607818246e-09       9.740929721429e+21       1.351070547874e+04       2.010748939918e-10       9.078167786610e+17       3.982530780213e-09       5.608668679066e+43       7.599062635054e+32       4.224098339206e+33       5.477568885622e-08       3.879902504213e+43       9.488571183782e+43       3.375352461379e+31       3.852802630993e+12       4.570817396165e-06       2.515027395725e+00 
       6.672532655193e+13       1.697674441231e-25       6.946720532142e-09       9.605975373410e+21       1.351070547874e+04       2.024824182497e-10       9.015062350158e+17       4.010408495674e-09       5.454336194339e+43       7.441690650371e+32       4.136619820991e+33       5.477568885622e-08       3.773140092625e+43       9.227476287455e+43       3.305450956238e+31       3.826020487579e+12       4.651007175045e-06       2.471664854420e+00 
       6.626149607938e+13       1.721525069456e-25       6.994014256634e-09       9.472890731524e+21       1.351070547874e+04       2.038997951775e-10       8.952395581091e+17       4.038481355143e-09       5.304250442161e+43       7.287577744176e+32       4.050952929905e+33       5.477568885622e-08       3.669315438497e+43       8.973565881140e+43       3.236997068931e+31       3.799424515966e+12       4.731196953925e-06       2.429772229769e+00 
       6.580088985043e+13       1.745710775156e-25       7.043126970530e-09       9.341649892191e+21       1.351070547874e+04       2.053270937437e-10       8.890164430080e+17       4.066750724629e-09       5.158294566141e+43       7.136656422927e+32       3.967060148249e+33       5.477568885622e-08       3.568347704214e+43       8.726642270826e+43       3.169960820170e+31       3.773013422012e+12       4.811386732805e-06       2.389276025939e+00 
       6.534348545226e+13       1.770236265836e-25       7.092239684425e-09       9.212227310704e+21       1.351070547874e+04       2.067643833999e-10       8.828365868997e+17       4.095217979701e-09       5.016354925399e+43       6.988860590833e+32       3.884904735289e+33       5.477568885622e-08       3.470158276548e+43       8.486513202408e+43       3.104312851520e+31       3.746785920567e+12       4.891576511685e-06       2.350107566498e+00 
       6.488926062786e+13       1.795106315135e-25       7.143171387725e-09       9.084597796266e+21       1.351070547874e+04       2.082117340837e-10       8.766996890762e+17       4.123884505559e-09       4.878321006084e+43       6.844125520908e+32       3.804450711173e+33       5.477568885622e-08       3.374670705457e+43       8.252991711992e+43       3.040024412540e+31       3.720740735418e+12       4.971766290565e-06       2.312202605748e+00 
       6.443819327494e+13       1.820325763756e-25       7.192284101620e-09       8.958736507080e+21       1.351070547874e+04       2.096692162223e-10       8.706054509197e+17       4.152751697097e-09       4.744085335330e+43       6.702387826619e+32       3.725662841169e+33       5.477568885622e-08       3.281810644556e+43       8.025895980329e+43       2.977067348193e+31       3.694876599223e+12       5.051956069445e-06       2.275500977086e+00 
