# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   97       5.541355310076e+03       8.835059672402e-01       0.000000000000e+00      -3.398361248178e+01       5.227977069685e-08       2.401058486067e-04      -2.060051378267e-06 
   98       5.625008363148e+03       9.081990422493e-01       0.000000000000e+00      -3.514019129107e+01       5.147807736444e-08       2.382985972062e-04      -2.068413566628e-06 
   99       5.709257661176e+03       9.331458772302e-01       0.000000000000e+00      -3.631248021920e+01       5.069077937688e-08       2.365809306983e-04      -2.076058448710e-06 
  100       5.794097266691e+03       9.583368308997e-01       0.000000000000e+00      -3.750014356673e+01       4.991762613280e-08       2.349454943176e-04      -2.082885047802e-06 
  101       5.879519810568e+03       9.837618846865e-01       0.000000000000e+00      -3.870283275956e+01       4.915725395165e-08       2.333819972751e-04      -2.088779538026e-06 
  102       5.965516436216e+03       1.009410639287e+00       0.000000000000e+00      -3.992018633174e+01       4.840706095871e-08       2.318770165120e-04      -2.093614504680e-06 
  103       6.052076743747e+03       1.035272311221e+00       0.000000000000e+00      -4.115182990827e+01       4.766307598564e-08       2.304137959787e-04      -2.097248188337e-06 
  104       6.139190760904e+03       1.061335927438e+00       0.000000000000e+00      -4.239737992304e+01       4.692140119492e-08       2.289768754594e-04      -2.099569727939e-06 
  105       6.226855279275e+03       1.087590946492e+00       0.000000000000e+00      -4.365645538202e+01       4.618329891001e-08       2.275675038551e-04      -2.100647087922e-06 
  106       6.315068273926e+03       1.114026715249e+00       0.000000000000e+00      -4.492866766442e+01       4.545120903432e-08       2.261909569277e-04      -2.100607569158e-06 
  107       6.403826919944e+03       1.140632277074e+00       0.000000000000e+00      -4.621361695288e+01       4.472723875486e-08       2.248519193502e-04      -2.099595110679e-06 
  108       6.493127558886e+03       1.167396370569e+00       0.000000000000e+00      -4.751089225730e+01       4.401311207505e-08       2.235544270734e-04      -2.097771027609e-06 
  109       6.582965665229e+03       1.194307428300e+00       0.000000000000e+00      -4.882007143862e+01       4.331011682357e-08       2.223018082672e-04      -2.095314761868e-06 
  110       6.673335812821e+03       1.221353575531e+00       0.000000000000e+00      -5.014072123271e+01       4.261904909107e-08       2.210966228367e-04      -2.092424645660e-06 
  111       6.764231641333e+03       1.248522628959e+00       0.000000000000e+00      -5.147239727411e+01       4.194015504685e-08       2.199406005130e-04      -2.089318677757e-06 
  112       6.855645822703e+03       1.275802095440e+00       0.000000000000e+00      -5.281464411991e+01       4.127307008736e-08       2.188345775181e-04      -2.086235312551e-06 
  113       6.947570027595e+03       1.303179170729e+00       0.000000000000e+00      -5.416699527354e+01       4.061675526844e-08       2.177784318048e-04      -2.083434261906e-06 
  114       7.039994891841e+03       1.330640738206e+00       0.000000000000e+00      -5.552897320861e+01       3.996943097339e-08       2.167710168718e-04      -2.081197309785e-06 
  115       7.132909982895e+03       1.358173367609e+00       0.000000000000e+00      -5.690008939269e+01       3.932850776865e-08       2.158100941521e-04      -2.079829139664e-06 
  116       7.226305158159e+03       1.385763557491e+00       0.000000000000e+00      -5.827984936203e+01       3.869151055670e-08       2.148931243178e-04      -2.079589423288e-06 
  117       7.320174899037e+03       1.413398498724e+00       0.000000000000e+00      -5.966776859463e+01       3.805926930658e-08       2.140199566076e-04      -2.080473133758e-06 
  118       7.414514443271e+03       1.441065401872e+00       0.000000000000e+00      -6.106335862071e+01       3.743336195272e-08       2.131904991163e-04      -2.082391838175e-06 
  119       7.509318419204e+03       1.468751262653e+00       0.000000000000e+00      -6.246612221229e+01       3.681515870741e-08       2.124038519085e-04      -2.085237992196e-06 
  120       7.604580824532e+03       1.496442862829e+00       0.000000000000e+00      -6.387555345167e+01       3.620579466624e-08       2.116582558848e-04      -2.088883945090e-06 
  121       7.700295005067e+03       1.524126771090e+00       0.000000000000e+00      -6.529113779990e+01       3.560614119359e-08       2.109510406156e-04      -2.093180926276e-06 
  122       7.796453633489e+03       1.551789343941e+00       0.000000000000e+00      -6.671235216528e+01       3.501677606746e-08       2.102785711401e-04      -2.097958013334e-06 
  123       7.893048688103e+03       1.579416726592e+00       0.000000000000e+00      -6.813866497178e+01       3.443795236276e-08       2.096361937327e-04      -2.103021081497e-06 
  124       7.990071431600e+03       1.606994853843e+00       0.000000000000e+00      -6.956953622759e+01       3.386956605234e-08       2.090181806346e-04      -2.108151734616e-06 
  125       8.087512389809e+03       1.634509450973e+00       0.000000000000e+00      -7.100441759355e+01       3.331112230493e-08       2.084176737534e-04      -2.113106217606e-06 
  126       8.185361330454e+03       1.661946034623e+00       0.000000000000e+00      -7.244275245165e+01       3.276170045915e-08       2.078266273274e-04      -2.117614310364e-06 
  127       8.283607241916e+03       1.689289913689e+00       0.000000000000e+00      -7.388397597350e+01       3.221991765289e-08       2.072357495578e-04      -2.121378203168e-06 
  128       8.382238311982e+03       1.716526190203e+00       0.000000000000e+00      -7.532751518879e+01       3.168389108722e-08       2.066344432060e-04      -2.124071353555e-06 
  129       8.481242987823e+03       1.743640053671e+00       0.000000000000e+00      -7.677279351820e+01       3.115187399230e-08       2.060134183506e-04      -2.125411870265e-06 
  130       8.580613332497e+03       1.770617698684e+00       0.000000000000e+00      -7.821924478867e+01       3.062440912477e-08       2.053731497546e-04      -2.125398892439e-06 
  131       8.680341998227e+03       1.797445510115e+00       0.000000000000e+00      -7.966630089218e+01       3.010257012432e-08       2.047166945159e-04      -2.124112844301e-06 
  132       8.780421164816e+03       1.824109781652e+00       0.000000000000e+00      -8.111338755860e+01       2.958731365524e-08       2.040471355637e-04      -2.121644698163e-06 
  133       8.880842526141e+03       1.850596718786e+00       0.000000000000e+00      -8.255992445612e+01       2.907946533083e-08       2.033675762467e-04      -2.118096388392e-06 
  134       8.981597276648e+03       1.876892441798e+00       0.000000000000e+00      -8.400532529167e+01       2.857970507213e-08       2.026811347737e-04      -2.113581231566e-06 
  135       9.082676097842e+03       1.902982988745e+00       0.000000000000e+00      -8.544899791137e+01       2.808855189245e-08       2.019909385069e-04      -2.108224352817e-06 
  136       9.184069144786e+03       1.928854318450e+00       0.000000000000e+00      -8.689034440090e+01       2.760634809886e-08       2.013001181079e-04      -2.102163118376e-06 
  137       9.285766032589e+03       1.954492313482e+00       0.000000000000e+00      -8.832876118599e+01       2.713324290208e-08       2.006118015365e-04      -2.095547574299e-06 
  138       9.387755822902e+03       1.979882783153e+00       0.000000000000e+00      -8.976363913278e+01       2.666917542596e-08       1.999291079022e-04      -2.088540891392e-06 
  139       9.490027010412e+03       2.005011466494e+00       0.000000000000e+00      -9.119436364828e+01       2.621385710794e-08       1.992551411678e-04      -2.081319816324e-06 
  140       9.592567509336e+03       2.029864035252e+00       0.000000000000e+00      -9.262031478079e+01       2.576675348169e-08       1.985929837063e-04      -2.074075128932e-06 
  141       9.695364639910e+03       2.054426096868e+00       0.000000000000e+00      -9.404086732031e+01       2.532706533341e-08       1.979456897103e-04      -2.067012105720e-06 
  142       9.798405114889e+03       2.078683197472e+00       0.000000000000e+00      -9.545539089898e+01       2.489370922286e-08       1.973162784538e-04      -2.060350989545e-06 
  143       9.901675026035e+03       2.102620824863e+00       0.000000000000e+00      -9.686325009149e+01       2.446529736065e-08       1.967077274071e-04      -2.054327465502e-06 
  144       1.000516079832e+04       2.126224745098e+00       0.000000000000e+00      -9.826381090284e+01       2.404057139154e-08       1.961224467955e-04      -2.049142689349e-06 
  145       1.010885218702e+04       2.149482043338e+00       0.000000000000e+00      -9.965646074041e+01       2.361984634820e-08       1.955606304929e-04      -2.044803976778e-06 
  146       1.021273955183e+04       2.172380191769e+00       0.000000000000e+00      -1.010405906109e+02       2.320381002092e-08       1.950216481438e-04      -2.041261498008e-06 
  147       1.031681290773e+04       2.194906730080e+00       0.000000000000e+00      -1.024155890459e+02       2.279308637418e-08       1.945045258059e-04      -2.038456284017e-06 
  148       1.042106191714e+04       2.217049270369e+00       0.000000000000e+00      -1.037808422386e+02       2.238822862731e-08       1.940079291430e-04      -2.036319839403e-06 
  149       1.052547588190e+04       2.238795502043e+00       0.000000000000e+00      -1.051357341815e+02       2.198971208591e-08       1.935301463456e-04      -2.034773749402e-06 
  150       1.063004373535e+04       2.260133196726e+00       0.000000000000e+00      -1.064796468030e+02       2.159792672041e-08       1.930690707818e-04      -2.033729281048e-06 
  151       1.073475403439e+04       2.281050213162e+00       0.000000000000e+00      -1.078119601051e+02       2.121316948840e-08       1.926221833763e-04      -2.033086978498e-06 
  152       1.083959495155e+04       2.301534502116e+00       0.000000000000e+00      -1.091320522998e+02       2.083563639728e-08       1.921865347190e-04      -2.032736252495e-06 
  153       1.094455426700e+04       2.321574111284e+00       0.000000000000e+00      -1.104392999469e+02       2.046541430381e-08       1.917587269017e-04      -2.032554963994e-06 
  154       1.104961936065e+04       2.341157190193e+00       0.000000000000e+00      -1.117330780909e+02       2.010247244712e-08       1.913348950846e-04      -2.032409001928e-06 
  155       1.115477720417e+04       2.360271995106e+00       0.000000000000e+00      -1.130127603979e+02       1.974665371162e-08       1.909106887910e-04      -2.032151855139e-06 
  156       1.126001435307e+04       2.378906893927e+00       0.000000000000e+00      -1.142777192931e+02       1.939766561660e-08       1.904812529319e-04      -2.031624178450e-06 
  157       1.136531693876e+04       2.397050371102e+00       0.000000000000e+00      -1.155273260978e+02       1.905507102887e-08       1.900412085587e-04      -2.030653352889e-06 
  158       1.147067066056e+04       2.414691032530e+00       0.000000000000e+00      -1.167609511663e+02       1.871827859506e-08       1.895846333448e-04      -2.029053040074e-06 
