# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ncdm[1]        15:(.)p_ncdm[1]          16:(.)rho_lambda         17:(.)rho_ur             18:(.)rho_crit           19:(.)rho_tot            20:(.)p_tot              21:(.)p_tot_prime        22:gr.fac. D             23:gr.fac. f          
       7.943784823382e+13       1.123799584872e-25       5.473339115269e-09       1.451132309891e+22       1.309191344201e+04       1.648069998507e-10       1.039993433097e+18       3.160529384480e-09       1.095693180972e+44       1.252152874049e+33       7.518494762662e+33       7.563725518036e+43       2.521241839345e+43       2.521241839345e+43       8.404139464484e+42       3.946581014145e-08       1.595064010971e+41       2.105784980808e+44       2.105784980808e+44       7.019283269069e+43      -5.128995294051e+52       3.318774290529e-06       4.344138228979e+00 
       7.888564869297e+13       1.139587845239e-25       5.513356882147e-09       1.431027800324e+22       1.309191344201e+04       1.659606488496e-10       1.032764084505e+18       3.182653090172e-09       1.065543236164e+44       1.226221546413e+33       7.362791289818e+33       7.355596170451e+43       2.451865390150e+43       2.451865390150e+43       8.172884633834e+42       3.946581014145e-08       1.551172990446e+41       2.047840565300e+44       2.047840565300e+44       6.826135217381e+43      -4.953189548007e+52       3.419343208424e-06       4.216369457538e+00 
       7.833728767921e+13       1.155597914877e-25       5.551555659622e-09       1.411201825873e+22       1.309191344201e+04       1.671223733916e-10       1.025584989578e+18       3.204931661803e-09       1.036222920661e+44       1.200827240866e+33       7.210312341594e+33       7.153193871688e+43       2.384397957229e+43       2.384397957229e+43       7.947993190765e+42       3.946581014145e-08       1.508489709340e+41       1.991490593346e+44       1.991490593346e+44       6.638301977540e+43      -4.783409867219e+52       3.519912126318e-06       4.095901758751e+00 
       7.779273850965e+13       1.171832909983e-25       5.589754437096e-09       1.391650527610e+22       1.309191344201e+04       1.682922300053e-10       1.018455798985e+18       3.227366183435e-09       1.007709405738e+44       1.175958836007e+33       7.060991140035e+33       6.956361031824e+43       2.318787010608e+43       2.318787010608e+43       7.729290035360e+42       3.946581014145e-08       1.466980934558e+41       1.936691190998e+44       1.936691190998e+44       6.455637303053e+43      -4.619449697219e+52       3.620481044213e-06       3.982126709897e+00 
       7.725197468684e+13       1.188295990535e-25       5.629772203974e-09       1.372370100075e+22       1.309191344201e+04       1.694702756153e-10       1.011376165824e+18       3.249957746719e-09       9.799804908440e+43       1.151605440751e+33       6.914762290123e+33       6.764944397301e+43       2.254981465767e+43       2.254981465767e+43       7.516604885890e+42       3.946581014145e-08       1.426614347470e+41       1.883399691579e+44       1.883399691579e+44       6.277998971661e+43      -4.461109563572e+52       3.721049962108e-06       3.874501663684e+00 
       7.671496989756e+13       1.204990360906e-25       5.667970981449e-09       1.353356790525e+22       1.309191344201e+04       1.706565675446e-10       1.004345745605e+18       3.272707450946e-09       9.530145863146e+43       1.127756389561e+33       6.771561751126e+33       6.578794931603e+43       2.192931643868e+43       2.192931643868e+43       7.309772146226e+42       3.946581014145e-08       1.387358518753e+41       1.831574602459e+44       1.831574602459e+44       6.105248674602e+43      -4.308196829197e+52       3.821618880002e-06       3.772541093587e+00 
       7.618169801148e+13       1.221919270487e-25       5.707988748327e-09       1.334606898212e+22       1.309191344201e+04       1.718511635174e-10       9.973641962314e+17       3.295616403102e-09       9.267906965640e+43       1.104401237776e+33       6.631326808560e+33       6.397767699223e+43       2.132589233074e+43       2.132589233074e+43       7.108630776915e+42       3.946581014145e-08       1.349182883918e+41       1.781175572755e+44       1.781175572755e+44       5.937251908926e+43      -4.160525460002e+52       3.922187797897e-06       3.675809270674e+00 
       7.565213307992e+13       1.239086014318e-25       5.748006515205e-09       1.316116773659e+22       1.309191344201e+04       1.730541216621e-10       9.904311779855e+17       3.318685717924e-09       9.012884037370e+43       1.081529757039e+33       6.493996046720e+33       6.221721752809e+43       2.073907250936e+43       2.073907250936e+43       6.913024169787e+42       3.946581014145e-08       1.312057719508e+41       1.732163361907e+44       1.732163361907e+44       5.773877872770e+43      -4.017915798558e+52       4.022756715792e-06       3.583914038907e+00 
       7.512624933457e+13       1.256493933733e-25       5.788024282083e-09       1.297882817950e+22       1.309191344201e+04       1.742655005137e-10       9.835463535109e+17       3.341916517949e-09       8.764878518120e+43       1.059131930816e+33       6.359509321780e+33       6.050520023425e+43       2.016840007808e+43       2.016840007808e+43       6.722800026028e+42       3.946581014145e-08       1.275954119965e+41       1.684499809130e+44       1.684499809130e+44       5.614999363518e+43      -3.880194345523e+52       4.123325633686e-06       3.496501501373e+00 
       7.460402118627e+13       1.274146417008e-25       5.828042048961e-09       1.279901482029e+22       1.309191344201e+04       1.754853590173e-10       9.767093877963e+17       3.365309933574e-09       8.523697311413e+43       1.037197950008e+33       6.227807735460e+33       5.884029213833e+43       1.961343071278e+43       1.961343071278e+43       6.537810237593e+42       3.946581014145e-08       1.240843975116e+41       1.638147803700e+44       1.638147803700e+44       5.460492678758e+43      -3.747193548563e+52       4.223894551581e-06       3.413251465626e+00 
