#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       7.133989681561e-02       1.539413666953e-07      -1.203427100189e+00       2.141965668391e-02       3.973485124918e-10       9.933712812295e-10       1.036561227321e-17       1.986742562459e-10      -9.025703251415e-01       2.141965668391e-02       6.011142901074e-01       6.993981518494e-01      -1.203427091824e+00       2.141480569797e-02       2.039390152839e-04      -9.025703381818e-01       2.142974018795e-02 
       7.156994504969e-02       1.544378501340e-07      -1.203442340225e+00       2.148872955849e-02       4.012052795359e-10       1.003013198840e-09       1.053384264769e-17       2.006026397679e-10      -9.025817551688e-01       2.148872955849e-02       6.011130366649e-01       6.993959870067e-01      -1.203442330365e+00       2.148383149239e-02       2.052546966742e-04      -9.025817705401e-01       2.149891091712e-02 
       7.179999328377e-02       1.549343340357e-07      -1.203457588879e+00       2.155780178205e-02       4.050869128527e-10       1.012717282132e-09       1.070425002794e-17       2.025434564263e-10      -9.025931916592e-01       2.155780178205e-02       6.011117813844e-01       6.993938253064e-01      -1.203457577510e+00       2.155285633261e-02       2.065746097121e-04      -9.025932093840e-01       2.156808162594e-02 
       7.203004151785e-02       1.554308184004e-07      -1.203472796650e+00       2.162687240343e-02       4.089934742322e-10       1.022483685580e-09       1.087685499261e-17       2.044967371161e-10      -9.026045974875e-01       2.162687240343e-02       6.011105350598e-01       6.993916791233e-01      -1.203472783756e+00       2.162187926647e-02       2.078987542869e-04      -9.026046175886e-01       2.163725136525e-02 
       7.271669603233e-02       1.569127418116e-07      -1.203518123959e+00       2.183303009629e-02       4.208029851715e-10       1.052007462929e-09       1.140533187120e-17       2.104014925858e-10      -9.026385929696e-01       2.183303009629e-02       6.011068306381e-01       6.993853209525e-01      -1.203518106429e+00       2.182789280169e-02       2.118762626573e-04      -9.026386202999e-01       2.184370869071e-02 
       7.340335054681e-02       1.583946693475e-07      -1.203563322202e+00       2.203917757691e-02       4.328374871454e-10       1.082093717864e-09       1.195414950251e-17       2.164187435727e-10      -9.026724916517e-01       2.203917757691e-02       6.011031581269e-01       6.993790422335e-01      -1.203563299901e+00       2.203389338015e-02       2.158914668410e-04      -9.026725264191e-01       2.205016151254e-02 
       7.409000506129e-02       1.598766010081e-07      -1.203608384388e+00       2.224531440746e-02       4.450990877553e-10       1.112747719388e-09       1.252388900266e-17       2.225495438777e-10      -9.027062882910e-01       2.224531440746e-02       6.010995211378e-01       6.993728447117e-01      -1.203608357181e+00       2.223988053813e-02       2.199443639468e-04      -9.027063307070e-01       2.225660944680e-02 
       7.477665957576e-02       1.613585367935e-07      -1.203653365371e+00       2.245144136932e-02       4.575899186116e-10       1.143974796529e-09       1.311514312474e-17       2.287949593058e-10      -9.027400240279e-01       2.245144136932e-02       6.010959097863e-01       6.993667146711e-01      -1.203653333119e+00       2.244585503115e-02       2.240349511017e-04      -9.027400743082e-01       2.246305332875e-02 
       7.546331409024e-02       1.628404767036e-07      -1.203698265920e+00       2.265755820337e-02       4.703120907052e-10       1.175780226763e-09       1.372851512153e-17       2.351560453526e-10      -9.027736994401e-01       2.265755820337e-02       6.010923257661e-01       6.993606519169e-01      -1.203698228483e+00       2.265181657419e-02       2.281632254501e-04      -9.027737578043e-01       2.266949295313e-02 
       7.614996860472e-02       1.643224207384e-07      -1.203743080659e+00       2.286366452771e-02       4.832677118591e-10       1.208169279648e-09       1.436461931243e-17       2.416338559295e-10      -9.028073104942e-01       2.286366452771e-02       6.010887720063e-01       6.993546577913e-01      -1.203743037893e+00       2.285776475948e-02       2.323291840976e-04      -9.028073771660e-01       2.287592799192e-02 
       7.732054581537e-02       1.668487806585e-07      -1.203819375872e+00       2.321500208930e-02       5.058981196317e-10       1.264745299079e-09       1.550321721973e-17       2.529490598159e-10      -9.028645319044e-01       2.321500208931e-02       6.010827676432e-01       6.993445737618e-01      -1.203819323684e+00       2.320882609312e-02       2.395179917131e-04      -9.028646132658e-01       2.322783974212e-02 
       7.849112302602e-02       1.693751525658e-07      -1.203895592599e+00       2.356631054606e-02       5.292236336308e-10       1.323059084077e-09       1.671288103230e-17       2.646118168154e-10      -9.029216944494e-01       2.356631054606e-02       6.010768267179e-01       6.993346464375e-01      -1.203895530550e+00       2.355984984163e-02       2.468162942185e-04      -9.029217911830e-01       2.357974002748e-02 
