# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       8.697823467967e+13       9.991130883656e-26       5.329638952389e-09       1.632229530806e+22       1.910636450125e+04       2.196683408398e-10       1.661837855465e+18       3.076583670263e-09       1.574785573594e+44       1.464267275609e+33       3.335783887247e+33       4.339565124443e-08       1.089387667592e+44       2.664173241234e+44       3.917648211325e-06       7.167828077820e+00 
       8.637361934426e+13       1.013149628144e-25       5.366018740460e-09       1.609616035128e+22       1.910636450125e+04       2.212060192256e-10       1.650285854484e+18       3.098119755955e-09       1.531452550306e+44       1.433943187187e+33       3.266701823311e+33       4.339565124443e-08       1.059411230189e+44       2.590863780542e+44       4.113530621891e-06       6.826502931257e+00 
       8.577320689599e+13       1.027383367270e-25       5.402398528531e-09       1.587315834963e+22       1.910636450125e+04       2.227544613602e-10       1.638814155396e+18       3.119806594247e-09       1.489311912151e+44       1.404247092270e+33       3.199050407078e+33       4.339565124443e-08       1.030259647727e+44       2.519571559924e+44       4.309413032457e-06       6.516207343473e+00 
       8.517696811915e+13       1.041817076197e-25       5.442416295409e-09       1.565324589801e+22       1.910636450125e+04       2.243137425897e-10       1.627422199996e+18       3.141645240406e-09       1.448330848536e+44       1.375165985493e+33       3.132800010701e+33       4.339565124443e-08       1.001910222855e+44       2.450241071435e+44       4.505295443024e-06       6.232893980713e+00 
       8.458487400115e+13       1.056453564300e-25       5.478796083480e-09       1.543638019268e+22       1.910636450125e+04       2.258839387879e-10       1.616109433959e+18       3.163636757089e-09       1.408477451704e+44       1.346687130824e+33       3.067921619908e+33       4.339565124443e-08       9.743408827823e+43       2.382818334531e+44       4.701177853590e-06       5.973190064850e+00 
       8.399689573103e+13       1.071295680425e-25       5.518813850358e-09       1.522251902293e+22       1.910636450125e+04       2.274651263594e-10       1.604875306811e+18       3.185782214388e-09       1.369720691902e+44       1.318798055986e+33       3.004386821293e+33       4.339565124443e-08       9.475301620898e+43       2.317250854035e+44       4.897060264156e-06       5.734262462256e+00 
       8.341300469814e+13       1.086346313439e-25       5.555193638429e-09       1.501162076284e+22       1.910636450125e+04       2.290573822439e-10       1.593719271908e+18       3.208082689889e-09       1.332030393213e+44       1.291486546997e+33       2.942167789877e+33       4.339565124443e-08       9.214571860169e+43       2.253487579272e+44       5.092942674722e-06       5.513713906015e+00 
       8.283317249071e+13       1.101608392797e-25       5.595211405307e-09       1.480364436318e+22       1.910636450125e+04       2.306607839196e-10       1.582640786403e+18       3.230539268718e-09       1.295377210063e+44       1.264740642817e+33       2.881237276918e+33       4.339565124443e-08       8.961016542097e+43       2.191478864314e+44       5.288825085288e-06       5.309502279866e+00 
       8.225737089445e+13       1.117084889107e-25       5.635229172185e-09       1.459854934345e+22       1.910636450125e+04       2.322754094070e-10       1.571639311224e+18       3.253153043599e-09       1.259732604377e+44       1.238548630114e+33       2.821568597978e+33       4.339565124443e-08       8.714438249143e+43       2.131176429332e+44       5.484707495854e-06       5.119877198443e+00 
       8.168557189121e+13       1.132778814714e-25       5.675246939063e-09       1.439629578398e+22       1.910636450125e+04       2.339013372729e-10       1.560714311047e+18       3.275925114904e-09       1.225068823354e+44       1.212899038130e+33       2.763135621241e+33       4.339565124443e-08       8.474644996064e+43       2.072533323000e+44       5.680589906420e-06       4.943329708841e+00 
       8.111774765760e+13       1.148693224282e-25       5.715264705941e-09       1.419684431816e+22       1.910636450125e+04       2.355386466338e-10       1.549865254267e+18       3.298856590708e-09       1.191358877859e+44       1.187780633661e+33       2.705912756060e+33       4.339565124443e-08       8.241450080431e+43       2.015503885941e+44       5.876472316987e-06       4.778552051880e+00 
       8.055387056366e+13       1.164831215390e-25       5.755282472819e-09       1.400015612476e+22       1.910636450125e+04       2.371874171602e-10       1.539091612976e+18       3.321948586843e-09       1.158576521413e+44       1.163182416136e+33       2.649874941760e+33       4.339565124443e-08       8.014671937265e+43       1.960043715178e+44       6.072354727553e-06       4.624405211496e+00 
       7.999391317146e+13       1.181195929135e-25       5.795300239697e-09       1.380619292043e+22       1.910636450125e+04       2.388477290804e-10       1.528392862936e+18       3.345202226951e-09       1.126696229756e+44       1.139093612797e+33       2.594997636653e+33       4.339565124443e-08       7.794133997669e+43       1.906109629560e+44       6.268237138119e-06       4.479892548637e+00 
       7.943784823382e+13       1.197790550743e-25       5.835318006575e-09       1.361491695217e+22       1.910636450125e+04       2.405196631839e-10       1.517768483551e+18       3.368618642540e-09       1.095693180972e+44       1.115503673985e+33       2.541256807298e+33       4.339565124443e-08       7.579664551355e+43       1.853659636144e+44       6.464119548685e-06       4.344138228982e+00 
       7.888564869297e+13       1.214618310191e-25       5.875335773453e-09       1.342629099005e+22       1.910636450125e+04       2.422033008262e-10       1.507217957846e+18       3.392198973037e-09       1.065543236164e+44       1.092402268519e+33       2.488628917970e+33       4.339565124443e-08       7.371096612945e+43       1.802652897494e+44       6.660001959251e-06       4.216369457541e+00 
