# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       8.577320689599e+13       1.027383367263e-25       5.404217517935e-09       1.587315834975e+22       1.515460971389e+04       1.766823261285e-10       1.299859474417e+18       3.119806594219e-09       1.489311912151e+44       8.425482553621e+33       3.199050407078e+28       3.733861180667e-08       1.030259647727e+44       2.519571559962e+44       2.082279468024e-06       6.516207343470e+00 
       8.517696811915e+13       1.041817076190e-25       5.440597306006e-09       1.565324589813e+22       1.515460971389e+04       1.779191024114e-10       1.290823708458e+18       3.141645240378e-09       1.448330848536e+44       8.250995912958e+33       3.132800010701e+28       3.733861180667e-08       1.001910222855e+44       2.450241071473e+44       2.176928534752e-06       6.232893980710e+00 
       8.458487400115e+13       1.056453564293e-25       5.478796083480e-09       1.543638019280e+22       1.515460971389e+04       1.791645361283e-10       1.281850753186e+18       3.163636757060e-09       1.408477451704e+44       8.080122784943e+33       3.067921619908e+28       3.733861180667e-08       9.743408827823e+43       2.382818334567e+44       2.271577601481e-06       5.973190064847e+00 
       8.399689573103e+13       1.071295680418e-25       5.518813850358e-09       1.522251902305e+22       1.515460971389e+04       1.804186878812e-10       1.272940171982e+18       3.185782214359e-09       1.369720691902e+44       7.912788335917e+33       3.004386821293e+28       3.733861180667e-08       9.475301620897e+43       2.317250854071e+44       2.366226668209e-06       5.734262462253e+00 
       8.341300469814e+13       1.086346313432e-25       5.557012627833e-09       1.501162076295e+22       1.515460971389e+04       1.816816186964e-10       1.264091531263e+18       3.208082689859e-09       1.332030393213e+44       7.748919281981e+33       2.942167789877e+28       3.733861180667e-08       9.214571860169e+43       2.253487579307e+44       2.460875734937e-06       5.513713906013e+00 
       8.283317249071e+13       1.101608392789e-25       5.595211405307e-09       1.480364436329e+22       1.515460971389e+04       1.829533900273e-10       1.255304400460e+18       3.230539268687e-09       1.295377210063e+44       7.588443856903e+33       2.881237276918e+28       3.733861180667e-08       8.961016542097e+43       2.191478864349e+44       2.555524801666e-06       5.309502279864e+00 
       8.225737089444e+13       1.117084889099e-25       5.635229172185e-09       1.459854934357e+22       1.515460971389e+04       1.842340637575e-10       1.246578351996e+18       3.253153043568e-09       1.259732604377e+44       7.431291780684e+33       2.821568597978e+28       3.733861180667e-08       8.714438249143e+43       2.131176429366e+44       2.650173868394e-06       5.119877198440e+00 
       8.168557189121e+13       1.132778814706e-25       5.673427949660e-09       1.439629578410e+22       1.515460971389e+04       1.855237022038e-10       1.237912961267e+18       3.275925114872e-09       1.225068823354e+44       7.277394228782e+33       2.763135621241e+28       3.733861180667e-08       8.474644996064e+43       2.072533323033e+44       2.744822935122e-06       4.943329708839e+00 
       8.111774765760e+13       1.148693224274e-25       5.713445716538e-09       1.419684431827e+22       1.515460971389e+04       1.868223681192e-10       1.229307806621e+18       3.298856590676e-09       1.191358877859e+44       7.126683801969e+33       2.705912756060e+28       3.733861180667e-08       8.241450080431e+43       2.015503885973e+44       2.839472001850e-06       4.778552051877e+00 
       8.055387056366e+13       1.164831215382e-25       5.753463483416e-09       1.400015612488e+22       1.515460971389e+04       1.881301246960e-10       1.220762469335e+18       3.321948586810e-09       1.158576521413e+44       6.979094496815e+33       2.649874941760e+28       3.733861180667e-08       8.014671937265e+43       1.960043715209e+44       2.934121068579e-06       4.624405211494e+00 
