# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.77578e-06 to 1.80917 h/Mpc,
# number of wavenumbers equal to 517
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       8.795140982916e-04       2.698228666847e+07       2.698199269879e+07       7.523395781807e+06       7.238656475715e+06       0.000000000000e+00       2.697517041875e+07 
       9.554434136358e-04       2.623779444346e+07       2.623749697200e+07       6.429735106995e+06       6.195706366510e+06       0.000000000000e+00       2.623056022793e+07 
       1.037284639847e-03       2.560180513154e+07       2.560150640385e+07       5.434285998362e+06       5.244694572125e+06       0.000000000000e+00       2.559445071422e+07 
       1.125089990529e-03       2.505736890763e+07       2.505706676125e+07       4.499747915731e+06       4.348843605516e+06       0.000000000000e+00       2.504988062800e+07 
       1.218808712297e-03       2.458982739685e+07       2.458951987473e+07       3.665727908000e+06       3.549928217392e+06       0.000000000000e+00       2.458221102120e+07 
       1.318290791383e-03       2.418638155511e+07       2.418606486419e+07       2.999519359026e+06       2.916222977556e+06       0.000000000000e+00       2.417866906801e+07 
       1.423298615328e-03       2.383602571260e+07       2.383569570434e+07       2.523236230107e+06       2.467938380453e+06       0.000000000000e+00       2.382826001481e+07 
       1.533524567277e-03       2.352937203606e+07       2.352902533365e+07       2.181211102316e+06       2.146176423372e+06       0.000000000000e+00       2.352158021007e+07 
       1.648611707673e-03       2.325852283139e+07       2.325815759233e+07       1.885249664536e+06       1.861766889919e+06       0.000000000000e+00       2.325070536945e+07 
       1.768174652003e-03       2.301685388861e+07       2.301646926321e+07       1.593984919114e+06       1.575996138583e+06       0.000000000000e+00       2.300900054500e+07 
       1.891818342425e-03       2.279890326295e+07       2.279849848834e+07       1.336369789762e+06       1.321300716561e+06       0.000000000000e+00       2.279101636946e+07 
       2.019153313918e-03       2.260023061850e+07       2.259980570043e+07       1.152151443443e+06       1.138455982774e+06       0.000000000000e+00       2.259232882200e+07 
       2.149806949837e-03       2.241713121223e+07       2.241668369199e+07       1.028579065267e+06       1.014087388641e+06       0.000000000000e+00       2.240922745440e+07 
       2.283430902070e-03       2.224669881271e+07       2.224622628977e+07       9.165508126023e+05       9.000125874722e+05       0.000000000000e+00       2.223879012433e+07 
       2.419705252520e-03       2.208657261212e+07       2.208607297619e+07       7.957484316361e+05       7.783423270373e+05       0.000000000000e+00       2.207865040173e+07 
       2.558340149477e-03       2.193480220359e+07       2.193427172696e+07       6.907405483641e+05       6.742241261507e+05       0.000000000000e+00       2.192686558782e+07 
       2.699075641304e-03       2.178991605282e+07       2.178935335382e+07       6.207279579624e+05       6.049853789545e+05       0.000000000000e+00       2.178197343121e+07 
       2.841680328094e-03       2.165068281902e+07       2.165008640582e+07       5.670919934356e+05       5.513676302192e+05       0.000000000000e+00       2.164273633001e+07 
       2.985949317533e-03       2.151606591491e+07       2.151543263358e+07       5.055512042001e+05       4.909407698381e+05       0.000000000000e+00       2.150810819797e+07 
       3.131701839485e-03       2.138534954128e+07       2.138467850088e+07       4.425181733236e+05       4.235160850331e+05       0.000000000000e+00       2.137737704169e+07 
       3.278778761743e-03       2.125785637092e+07       2.125714470185e+07       3.969809978467e+05       3.687967611519e+05       0.000000000000e+00       2.124987051169e+07 
       3.427040162086e-03       2.113310250444e+07       2.113234817623e+07       3.661104826317e+05       3.352539930755e+05       0.000000000000e+00       2.112510634047e+07 
       3.576363048052e-03       2.101068774451e+07       2.100988905257e+07       3.336342185661e+05       3.054751952493e+05       0.000000000000e+00       2.100267896219e+07 
       3.726639271640e-03       2.089028677814e+07       2.088944219012e+07       2.990379877705e+05       2.722108475895e+05       0.000000000000e+00       2.088226221034e+07 
       3.877773657005e-03       2.077153879610e+07       2.077064430679e+07       2.738021522410e+05       2.462377442738e+05       0.000000000000e+00       2.076349683035e+07 
       4.029682340973e-03       2.065433296469e+07       2.065338799648e+07       2.568757061649e+05       2.297519281648e+05       0.000000000000e+00       2.064627554995e+07 
       4.182291315529e-03       2.053845992301e+07       2.053746257502e+07       2.368009624914e+05       2.124304763135e+05       0.000000000000e+00       2.053038392690e+07 
       4.335535155842e-03       2.042373424536e+07       2.042268170508e+07       2.133704919559e+05       1.922495177217e+05       0.000000000000e+00       2.041563535767e+07 
       4.489355915027e-03       2.030999260111e+07       2.030888214814e+07       1.780780991875e+05       1.757871560570e+05       0.000000000000e+00       2.030186584572e+07 
       4.643702166521e-03       2.019721242364e+07       2.019604217256e+07       1.655963395687e+05       1.634659766815e+05       0.000000000000e+00       2.018906087006e+07 
       4.798528175755e-03       2.008537365642e+07       2.008414295584e+07       1.542951170522e+05       1.523101416210e+05       0.000000000000e+00       2.007719673465e+07 
       4.953793184242e-03       1.997429244293e+07       1.997299833112e+07       1.440344264214e+05       1.421814527424e+05       0.000000000000e+00       1.996608728902e+07 
       5.109460790908e-03       1.986395588343e+07       1.986259641224e+07       1.346952283346e+05       1.329624009912e+05       0.000000000000e+00       1.985572060985e+07 
       5.265498417226e-03       1.975428050079e+07       1.975285293752e+07       1.261741886477e+05       1.245509825682e+05       0.000000000000e+00       1.974601242902e+07 
       5.421876844454e-03       1.964529872864e+07       1.964380206497e+07       1.183822356484e+05       1.168592715083e+05       0.000000000000e+00       1.963699686173e+07 
       5.578569812781e-03       1.953689302942e+07       1.953532488606e+07       1.112409207239e+05       1.098098286866e+05       0.000000000000e+00       1.952855501372e+07 
